index,channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,channel10,channel11,channel12,channel13,channel14,channel15
1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1
2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1
4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1
5,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1
6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
7,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1
8,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1
9,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
10,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
11,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
12,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1
13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
14,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1
19,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1
20,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
21,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
22,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
23,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1
24,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
27,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
28,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1
29,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1
30,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1
31,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
32,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
33,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
34,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1
35,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0
36,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
37,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
38,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0
39,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0
40,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
41,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
42,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
43,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
44,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1
45,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1
46,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
47,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
48,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
49,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1
50,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1
51,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1
52,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0
53,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
54,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
56,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
